"","speed","X.break","Y.break","Type"
"3150",93.3,1.32,11.16,"FF"
"9450",90.9,0.961961918351,14.4999288494,"FF"
"35",72.7,-4,-7.94,"CU"
"273",92.9,1.41,12.48,"FF"
"7424",91.6,0.75,13.69,"FF"
"8127",71.9,1.35,-11.77,"CU"
"2924",92.8,1.42,8.5,"FF"
"3014",74.1,-3.7,-5.99,"CU"
"1770",91.6,-0.04,12.21,"FF"
"1939",91.2,0.01,14.86,"FF"
"834",91.9,1.04,11.46,"FF"
"8190",91.3,-0.785883925251989,14.9506870463983,"FF"
"6550",94.6,-1.41,12.05,"FF"
"6546",73.2,0.27,-9.55,"CU"
"7887",93.6,1.84,13.59,"FF"
"3410",92.6,-0.97,11.11,"FF"
"7265",72.2,-0.76,-12.6,"CU"
"8888",93.6,1.2906718351582,13.3897053188146,"FF"
"6398",94.7,-0.69,12.54,"FF"
"8213",94,0.65289507957038,10.8059377585848,"FF"
"2998",93.4,-0.9,12.22,"FF"
"6081",94.3,-1.56,11.57,"FF"
"8254",95.1,2.53785568841671,12.9241455414832,"FF"
"6520",94.7,-1.32,11.28,"FF"
"2685",93.2,1.13,12.82,"FF"
"4434",92.5,1.55,9.12,"FF"
"6659",73.5,-1.17,-11.21,"CU"
"2158",91.9,0.52,11.29,"FF"
"5101",95,1.27,10.85,"FF"
"6399",94,1.13,12.44,"FF"
"5952",73.2,-3.89,-11.44,"CU"
"3371",93.4,2.64,8.64,"FF"
"1041",92.9,2.57,13.88,"FF"
"6226",93.9,3.19,10.52,"FF"
"9425",91.3,1.77865175332,13.3080030093,"FF"
"6462",96.2,2.43,13.07,"FF"
"9627",90.8,0.026021823528249,12.7311074513666,"FF"
"971",92.6,-1.08,12.15,"FF"
"6549",73.6,-2.64,-8.43,"CU"
"7266",73.6,-3.21,-10.52,"CU"
"8096",93.1,1.3,14.2,"FF"
"8731",93.2,1.67300034506269,14.5346096864737,"FF"
"2902",92.2,2.43,8.97,"FF"
"7462",93.9,-0.21,14.06,"FF"
"6909",92.7,1.1,9.52,"FF"
"8448",93.7,0.64652402200685,14.422219949407,"FF"
"2638",91.8,0.83,11.12,"FF"
"9010",92,-0.939076138282032,13.7347131673249,"FF"
"4694",94.4,-0.64,11.08,"FF"
"5989",93.6,3.22,10.94,"FF"
"5144",92.9,-0.39,8.94,"FF"
"8077",93.3,0.44,14.42,"FF"
"7942",72.9,-0.81,-10.48,"CU"
"9371",93.2,-0.877367329798943,12.5967594311641,"FF"
"7084",93.4,0.49,12.73,"FF"
"6708",74.5,-2.55,-10.34,"CU"
"1947",92.7,-0.38,12.71,"FF"
"8288",94,1.22483623768088,15.943811356689,"FF"
